Species;FAO;Mod;RCP;Year;Month;AreaBefore;AreaAfter
Abborre;FPE;MPI-ESM-LR;rcp45;2006;3;49,88664;0
Abborre;FPE;MPI-ESM-LR;rcp45;2006;4;49,88665;16,00181
Abborre;FPE;MPI-ESM-LR;rcp45;2006;5;49,88664;49,88664
Abborre;FPE;MPI-ESM-LR;rcp45;2006;6;49,88664;7,129647
Abborre;FPE;MPI-ESM-LR;rcp45;2006;7;49,88664;0
Abborre;FPE;MPI-ESM-LR;rcp85;2006;3;49,88664;0
Abborre;FPE;MPI-ESM-LR;rcp85;2006;4;49,88664;0
Abborre;FPE;MPI-ESM-LR;rcp85;2006;5;49,88664;49,88664
Abborre;FPE;MPI-ESM-LR;rcp85;2006;6;49,88664;0
Abborre;FPE;MPI-ESM-LR;rcp85;2006;7;49,88664;0
Abborre;FPE;EC-EARTH;rcp45;2006;3;49,88664;0
Abborre;FPE;EC-EARTH;rcp45;2006;4;49,88664;0
Abborre;FPE;EC-EARTH;rcp45;2006;5;49,88664;47,2441
Abborre;FPE;EC-EARTH;rcp45;2006;6;49,88664;11,6957
Abborre;FPE;EC-EARTH;rcp45;2006;7;49,88664;0
Abborre;FPE;EC-EARTH;rcp85;2006;3;49,88664;0
Abborre;FPE;EC-EARTH;rcp85;2006;4;49,88664;0
Abborre;FPE;EC-EARTH;rcp85;2006;5;49,88664;49,88664
Abborre;FPE;EC-EARTH;rcp85;2006;6;49,88664;9,83115
Abborre;FPE;EC-EARTH;rcp85;2006;7;49,88664;2,312244
Abborre;FPE;IPSL-CM5A-MR;rcp45;2006;3;49,88664;0
Abborre;FPE;IPSL-CM5A-MR;rcp45;2006;4;49,88664;0
Abborre;FPE;IPSL-CM5A-MR;rcp45;2006;5;49,88664;49,88664
Abborre;FPE;IPSL-CM5A-MR;rcp45;2006;6;49,88664;1,862701
Abborre;FPE;IPSL-CM5A-MR;rcp45;2006;7;49,88664;0
Abborre;FPE;HadGEM2-ES;rcp45;2006;3;49,88664;0
Abborre;FPE;HadGEM2-ES;rcp45;2006;4;49,88664;2,180876
Abborre;FPE;HadGEM2-ES;rcp45;2006;5;49,88664;49,88664
Abborre;FPE;HadGEM2-ES;rcp45;2006;6;49,88664;0
Abborre;FPE;HadGEM2-ES;rcp45;2006;7;49,88664;0
Abborre;FPE;HadGEM2-ES;rcp85;2006;3;49,88664;0
Abborre;FPE;HadGEM2-ES;rcp85;2006;4;49,88664;24,03205
Abborre;FPE;HadGEM2-ES;rcp85;2006;5;49,88664;49,88664
Abborre;FPE;HadGEM2-ES;rcp85;2006;6;49,88664;0,064285
Abborre;FPE;HadGEM2-ES;rcp85;2006;7;49,88664;0
Abborre;FPE;MPI-ESM-LR;rcp45;2007;3;49,88664;0
Abborre;FPE;MPI-ESM-LR;rcp45;2007;4;49,88664;0
Abborre;FPE;MPI-ESM-LR;rcp45;2007;5;49,88664;49,88664
Abborre;FPE;MPI-ESM-LR;rcp45;2007;6;49,88664;2,953962
Abborre;FPE;MPI-ESM-LR;rcp45;2007;7;49,88664;0
Abborre;FPE;MPI-ESM-LR;rcp85;2007;3;49,88664;0
Abborre;FPE;MPI-ESM-LR;rcp85;2007;4;49,88664;0
Abborre;FPE;MPI-ESM-LR;rcp85;2007;5;49,88664;49,88664
Abborre;FPE;MPI-ESM-LR;rcp85;2007;6;49,88664;4,944836
Abborre;FPE;MPI-ESM-LR;rcp85;2007;7;49,88664;3,597171
Abborre;FPE;EC-EARTH;rcp45;2007;3;49,88664;0
Abborre;FPE;EC-EARTH;rcp45;2007;4;49,88664;0
Abborre;FPE;EC-EARTH;rcp45;2007;5;49,88664;49,88664
Abborre;FPE;EC-EARTH;rcp45;2007;6;49,88664;8,155242
Abborre;FPE;EC-EARTH;rcp45;2007;7;49,88664;0
Abborre;FPE;EC-EARTH;rcp85;2007;3;49,88664;0
Abborre;FPE;EC-EARTH;rcp85;2007;4;49,88664;0
Abborre;FPE;EC-EARTH;rcp85;2007;5;49,88664;49,88664
Abborre;FPE;EC-EARTH;rcp85;2007;6;49,88664;8,3495
Abborre;FPE;EC-EARTH;rcp85;2007;7;49,88664;2,826167
Abborre;FPE;IPSL-CM5A-MR;rcp45;2007;3;49,88664;0
Abborre;FPE;IPSL-CM5A-MR;rcp45;2007;4;49,88664;0
Abborre;FPE;IPSL-CM5A-MR;rcp45;2007;5;49,88664;49,88664
Abborre;FPE;IPSL-CM5A-MR;rcp45;2007;6;49,88664;0
Abborre;FPE;IPSL-CM5A-MR;rcp45;2007;7;49,88664;0
Abborre;FPE;HadGEM2-ES;rcp45;2007;3;49,88664;0
Abborre;FPE;HadGEM2-ES;rcp45;2007;4;49,88664;0
Abborre;FPE;HadGEM2-ES;rcp45;2007;5;49,88664;49,88664
Abborre;FPE;HadGEM2-ES;rcp45;2007;6;49,88664;0,188856
Abborre;FPE;HadGEM2-ES;rcp45;2007;7;49,88664;0
Abborre;FPE;HadGEM2-ES;rcp85;2007;3;49,88664;0
Abborre;FPE;HadGEM2-ES;rcp85;2007;4;49,88664;0
Abborre;FPE;HadGEM2-ES;rcp85;2007;5;49,88664;49,88664
Abborre;FPE;HadGEM2-ES;rcp85;2007;6;49,88664;0
Abborre;FPE;HadGEM2-ES;rcp85;2007;7;49,88664;0
Abborre;FPE;MPI-ESM-LR;rcp45;2008;3;49,88664;0
Abborre;FPE;MPI-ESM-LR;rcp45;2008;4;49,88664;0
Abborre;FPE;MPI-ESM-LR;rcp45;2008;5;49,88664;49,88664
Abborre;FPE;MPI-ESM-LR;rcp45;2008;6;49,88664;9,702639
Abborre;FPE;MPI-ESM-LR;rcp45;2008;7;49,88664;0
Abborre;FPE;MPI-ESM-LR;rcp85;2008;3;49,88664;0
Abborre;FPE;MPI-ESM-LR;rcp85;2008;4;49,88664;0
Abborre;FPE;MPI-ESM-LR;rcp85;2008;5;49,88664;49,88664
Abborre;FPE;MPI-ESM-LR;rcp85;2008;6;49,88664;7,710706
Abborre;FPE;MPI-ESM-LR;rcp85;2008;7;49,88664;0
Abborre;FPE;EC-EARTH;rcp45;2008;3;49,88664;0
Abborre;FPE;EC-EARTH;rcp45;2008;4;49,88664;0
Abborre;FPE;EC-EARTH;rcp45;2008;5;49,88664;49,88664
Abborre;FPE;EC-EARTH;rcp45;2008;6;49,88664;10,08817
Abborre;FPE;EC-EARTH;rcp45;2008;7;49,88664;0
Abborre;FPE;EC-EARTH;rcp85;2008;3;49,88664;0
Abborre;FPE;EC-EARTH;rcp85;2008;4;49,88664;0
Abborre;FPE;EC-EARTH;rcp85;2008;5;49,88664;49,88664
Abborre;FPE;EC-EARTH;rcp85;2008;6;49,88664;10,08038
Abborre;FPE;EC-EARTH;rcp85;2008;7;49,88664;0
Abborre;FPE;IPSL-CM5A-MR;rcp45;2008;3;49,88664;0
Abborre;FPE;IPSL-CM5A-MR;rcp45;2008;4;49,88664;0
Abborre;FPE;IPSL-CM5A-MR;rcp45;2008;5;49,88664;49,88664
Abborre;FPE;IPSL-CM5A-MR;rcp45;2008;6;49,88664;5,139312
Abborre;FPE;IPSL-CM5A-MR;rcp45;2008;7;49,88664;0
Abborre;FPE;HadGEM2-ES;rcp45;2008;3;49,88664;0
Abborre;FPE;HadGEM2-ES;rcp45;2008;4;49,88664;0
Abborre;FPE;HadGEM2-ES;rcp45;2008;5;49,88664;49,88664
Abborre;FPE;HadGEM2-ES;rcp45;2008;6;49,88664;0
Abborre;FPE;HadGEM2-ES;rcp45;2008;7;49,88664;0
Abborre;FPE;HadGEM2-ES;rcp85;2008;3;49,88664;0
Abborre;FPE;HadGEM2-ES;rcp85;2008;4;49,88664;0
Abborre;FPE;HadGEM2-ES;rcp85;2008;5;49,88664;49,88664
Abborre;FPE;HadGEM2-ES;rcp85;2008;6;49,88664;6,037719
Abborre;FPE;HadGEM2-ES;rcp85;2008;7;49,88664;0
Abborre;FPE;MPI-ESM-LR;rcp45;2010;3;49,88664;0
Abborre;FPE;MPI-ESM-LR;rcp45;2010;4;49,88664;0
Abborre;FPE;MPI-ESM-LR;rcp45;2010;5;49,88664;49,88664
Abborre;FPE;MPI-ESM-LR;rcp45;2010;6;49,88664;3,274729
Abborre;FPE;MPI-ESM-LR;rcp45;2010;7;49,88664;0
Abborre;FPE;MPI-ESM-LR;rcp85;2010;3;49,88664;0
Abborre;FPE;MPI-ESM-LR;rcp85;2010;4;49,88664;21,50714
Abborre;FPE;MPI-ESM-LR;rcp85;2010;5;49,88664;49,88664
Abborre;FPE;MPI-ESM-LR;rcp85;2010;6;49,88664;0
Abborre;FPE;MPI-ESM-LR;rcp85;2010;7;49,88664;0
Abborre;FPE;EC-EARTH;rcp45;2010;3;49,88664;0
Abborre;FPE;EC-EARTH;rcp45;2010;4;49,88664;0
Abborre;FPE;EC-EARTH;rcp45;2010;5;49,88664;48,85138
Abborre;FPE;EC-EARTH;rcp45;2010;6;49,88664;9,767209
Abborre;FPE;EC-EARTH;rcp45;2010;7;49,88664;1,554238
Abborre;FPE;EC-EARTH;rcp85;2010;3;49,88664;0
Abborre;FPE;EC-EARTH;rcp85;2010;4;49,88664;0
Abborre;FPE;EC-EARTH;rcp85;2010;5;49,88664;49,88664
Abborre;FPE;EC-EARTH;rcp85;2010;6;49,88664;0,963528
Abborre;FPE;EC-EARTH;rcp85;2010;7;49,88664;0
Abborre;FPE;IPSL-CM5A-MR;rcp45;2010;3;49,88664;0
Abborre;FPE;IPSL-CM5A-MR;rcp45;2010;4;49,88664;0
Abborre;FPE;IPSL-CM5A-MR;rcp45;2010;5;49,88664;49,88664
Abborre;FPE;IPSL-CM5A-MR;rcp45;2010;6;49,88664;9,378339
Abborre;FPE;IPSL-CM5A-MR;rcp45;2010;7;49,88664;0
Abborre;FPE;HadGEM2-ES;rcp45;2010;3;49,88664;0
Abborre;FPE;HadGEM2-ES;rcp45;2010;4;49,88664;0
Abborre;FPE;HadGEM2-ES;rcp45;2010;5;49,88664;49,88664
Abborre;FPE;HadGEM2-ES;rcp45;2010;6;49,88664;0
