Species;FAO;Stock;Mod;RCP;Year;Month;AreaBefore;AreaAfter;AreaAfter_Temp;AreaAfter_Sal;AreaAfter_O2
Torsk;COD;ALL;MPI-ESM-LR;rcp45;2006;3;26529;13147;20404;23503;21224
Torsk;COD;ALL;MPI-ESM-LR;rcp45;2006;4;26529;17013;24839;24079;20369
Torsk;COD;ALL;MPI-ESM-LR;rcp45;2006;5;26529;14982;24246;22536;20003
Torsk;COD;ALL;MPI-ESM-LR;rcp45;2006;6;26529;9056;17995;23882;19764
Torsk;COD;ALL;MPI-ESM-LR;rcp45;2006;7;26529;8803;16390;24123;20439
Torsk;COD;ALL;MPI-ESM-LR;rcp45;2006;8;26529;8274;15438;23097;19461
Torsk;COD;ALL;MPI-ESM-LR;rcp85;2006;3;26529;21260;25168;25182;23710
Torsk;COD;ALL;MPI-ESM-LR;rcp85;2006;4;26529;20905;26508;22081;25366
Torsk;COD;ALL;MPI-ESM-LR;rcp85;2006;5;26529;19647;25557;21762;24656
Torsk;COD;ALL;MPI-ESM-LR;rcp85;2006;6;26529;15743;22394;21685;23399
Torsk;COD;ALL;MPI-ESM-LR;rcp85;2006;7;26529;11483;18783;22581;22197
Torsk;COD;ALL;MPI-ESM-LR;rcp85;2006;8;26529;10013;17615;22386;21801
Torsk;COD;ALL;EC-EARTH;rcp45;2006;3;26529;9809;14362;20463;22527
Torsk;COD;ALL;EC-EARTH;rcp45;2006;4;26529;10045;14108;20410;22514
Torsk;COD;ALL;EC-EARTH;rcp45;2006;5;26529;20025;24461;23369;23353
Torsk;COD;ALL;EC-EARTH;rcp45;2006;6;26529;18672;21770;23204;25290
Torsk;COD;ALL;EC-EARTH;rcp45;2006;7;26529;15527;17971;23880;25935
Torsk;COD;ALL;EC-EARTH;rcp45;2006;8;26529;14280;16330;24442;25963
Torsk;COD;ALL;EC-EARTH;rcp85;2006;3;26529;8858;14621;22542;20971
Torsk;COD;ALL;EC-EARTH;rcp85;2006;4;26529;17029;21995;23170;21705
Torsk;COD;ALL;EC-EARTH;rcp85;2006;5;26529;18525;24611;21785;23665
Torsk;COD;ALL;EC-EARTH;rcp85;2006;6;26529;14233;19914;22837;23782
Torsk;COD;ALL;EC-EARTH;rcp85;2006;7;26529;12487;17255;23315;24224
Torsk;COD;ALL;EC-EARTH;rcp85;2006;8;26529;12309;16274;23789;23954
Torsk;COD;ALL;IPSL-CM5A-MR;rcp45;2006;3;26529;8519;20937;16855;19971
Torsk;COD;ALL;IPSL-CM5A-MR;rcp45;2006;4;26529;7735;21336;14849;20629
Torsk;COD;ALL;IPSL-CM5A-MR;rcp45;2006;5;26529;12914;25159;16426;21529
Torsk;COD;ALL;IPSL-CM5A-MR;rcp45;2006;6;26529;11585;23851;14612;22382
Torsk;COD;ALL;IPSL-CM5A-MR;rcp45;2006;7;26529;9023;21029;14551;22730
Torsk;COD;ALL;IPSL-CM5A-MR;rcp45;2006;8;26529;5173;17305;13903;23043
Torsk;COD;ALL;HadGEM2-ES;rcp45;2006;3;26529;16289;24554;23813;19549
Torsk;COD;ALL;HadGEM2-ES;rcp45;2006;4;26529;17864;25264;23834;20637
Torsk;COD;ALL;HadGEM2-ES;rcp45;2006;5;26529;17545;24943;22945;21890
Torsk;COD;ALL;HadGEM2-ES;rcp45;2006;6;26529;14046;21882;21578;21852
Torsk;COD;ALL;HadGEM2-ES;rcp45;2006;7;26529;10032;19575;22231;20051
Torsk;COD;ALL;HadGEM2-ES;rcp45;2006;8;26529;7283;17866;22140;18774
Torsk;COD;ALL;HadGEM2-ES;rcp85;2006;3;26529;17143;23927;25174;18965
Torsk;COD;ALL;HadGEM2-ES;rcp85;2006;4;26529;17934;25669;23402;21118
Torsk;COD;ALL;HadGEM2-ES;rcp85;2006;5;26529;17161;25325;21729;22194
Torsk;COD;ALL;HadGEM2-ES;rcp85;2006;6;26529;15158;23338;21539;21964
Torsk;COD;ALL;HadGEM2-ES;rcp85;2006;7;26529;10705;19556;22272;20875
Torsk;COD;ALL;HadGEM2-ES;rcp85;2006;8;26529;7450;17291;22577;19555
Torsk;COD;ALL;MPI-ESM-LR;rcp45;2007;3;26529;7280;15974;23585;17859
Torsk;COD;ALL;MPI-ESM-LR;rcp45;2007;4;26529;17931;22830;25127;22688
Torsk;COD;ALL;MPI-ESM-LR;rcp45;2007;5;26529;16524;19787;23506;25635
Torsk;COD;ALL;MPI-ESM-LR;rcp45;2007;6;26529;15620;18340;23529;25750
Torsk;COD;ALL;MPI-ESM-LR;rcp45;2007;7;26529;15553;18413;22971;25683
